seqCorp,法人コード,法人の名称,法人の名称フリガナ,法人区分,行政庁,法人番号(JCN),郵便番号,主たる事務所の住所,代表電話番号,代表者の氏名,ホームページアドレス,事業年度,事業の種類,事業の概要,税額控除に係る証明
93,A008231,公益財団法人日本郵趣協会,コウエキザイダンホウジンニホンユウシュキョウカイ,公益財団法人,内閣府,3013305001717,171-0031,東京都豊島区目白一丁目4番23号,03-5951-3311,山田 廉一,https://yushu.or.jp/,04月01日~03月31日,"文化及び芸術の振興を目的とする事業、
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業",日本及び世界各国の郵便切手類及び郵便制度に関する情報を提供し、より深い文化活動の振興に寄与するため、郵趣の普及啓発、出版物の頒布、展覧会の開催、流通促進、国際文化交流、顕彰などの事業を実施している。,
105,A017740,公益財団法人中近東文化センター,コウエキザイダンホウジン チュウキントウブンカセンター,公益財団法人,内閣府,3012405001536,181-0015,東京都三鷹市大沢3丁目10番31号,0422-32-7111,大村 幸弘,http://www.meccj.or.jp/,04月01日~03月31日,"学術及び科学技術の振興を目的とする事業、
文化及び芸術の振興を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業",中近東文化に関する調査研究及び資料の収集・保管・展示をもって、中近東文化に関する理解と研究を通じて我が国の学術文化の向上発展に寄与することを目的とする,
113,A008815,公益財団法人大樹生命厚生財団,コウエキザイダンホウジンタイジュセイメイコウセイザイダン,公益財団法人,内閣府,2010605002330,135-0064,東京都江東区青海1丁目1番20号ダイバシティ東京,03-6831-8805,吉村 俊哉,http://www.kousei-zigyodan.or.jp/,04月01日~03月31日,公衆衛生の向上を目的とする事業,国民の健康の保持及び増進のための、1.生活習慣病をはじめとする重要な医学研究課題について、国内の大学・病院・医学研究機関の研究者の優れた研究活動を対象に助成する事業 2.健康増進啓蒙活動事業,
131,A008919,公益財団法人久保スポーツ振興基金,コウエキザイダンホウジンクボスポーツシンコウキキン,公益財団法人,広島県,4240005012541,730-0031,広島県広島市中区紙屋町二丁目2-38エディオン本店管理ビル3階,082-245-4324,久保 允誉,http://www1.ocn.ne.jp/~kubo12/,04月01日~03月31日,児童又は青少年の健全な育成を目的とする事業,"青少年のスポーツ振興を通じて,青少年の健全育成に寄与するための助成と顕彰事業",
137,A018062,公益財団法人千葉県アイバンク協会,コウエキザイダンホウジンチバケンアイバンクキョウカイ,公益財団法人,千葉県,6040005001298,260-8677,千葉県千葉市中央区亥鼻1丁目8番1号,043-222-6803,塚田雅二,,04月01日~03月31日,公衆衛生の向上を目的とする事業,角膜移植術により視力回復をする視力障害者に資するため、眼球の提供を受けた際、角膜移植術を必要とする医療機関へ眼球をあっせんする。また一般の方へアイバンク事業の理解を得ることを目的とする。,
152,A008018,公益財団法人大阪市学校給食協会,コウエキザイダンホウジンオオサカシガッコウキュウショクキョウカイ,公益財団法人,大阪府,7120005015173,550-0002,大阪府大阪市西区江戸堀3丁目6番45号,06-6447-0401,西野 伸一,https://www.osaka-school-lunch.or.jp/,04月01日~03月31日,"児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業",学校給食用物資の安定的供給、食育の推進等の事業を通じて、子どもの心身の健全な発達に寄与する。,
163,A017949,公益財団法人千葉県肢体不自由児協会,コウエキザイダンホウジンチバケンシタイフジユウジキョウカイ,公益財団法人,千葉県,5040005016834,260-0026,千葉県千葉市中央区千葉港4-5千葉県社会福祉センター4F,043-245-1732,臼井 正一,https://chiba-sikyou.com/,04月01日~03月31日,"障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
勤労意欲のある者に対する就労の支援を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
地域社会の健全な発展を目的とする事業",肢体不自由児の福祉の向上に寄与するために、肢体不自由児の自立と社会参加を支援する各種の事業及び肢体不自由児に対する社会の理解を促す療育思想の普及啓発や情報提供事業を行う。,【証明】公益財団法人千葉県肢体不自由児協会(税額控除)
165,A017840,公益財団法人秋田県栽培漁業協会,コウエキザイダンホウジンアキタケンサイバイギョギュオキョウカイ,公益財団法人,秋田県,8410005001597,010-0531,秋田県男鹿市船川港台島字鵜ノ崎16番地,0185-27-2602,理事長   大竹 敦,http://akita-saibai.com/,04月01日~03月31日,"地域社会の健全な発展を目的とする事業、
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業",栽培漁業の推進及び普及啓発のため、水産動物の種苗の生産、配布及び放流事業並びにこれに付随する技術開発、調査研究を行う。,
168,A017635,公益財団法人服部公益財団,コウエキザイダンホウジンハットリコウエキザイダン,公益財団法人,愛知県,2180305007927,444-0813,愛知県岡崎市羽根町字若宮30番地,0564-54-2401,服部 良男,http://www.hattori.org/,04月01日~03月31日,"勤労意欲のある者に対する就労の支援を目的とする事業、
勤労者の福祉の向上を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業、
地域社会の健全な発展を目的とする事業",広く地域住民を対象に文化、健康づくり、技芸、スポーツ等の教育を行う事業及び技能実習生を含む外国人の就労支援事業を中心に、不動産賃貸、および地域の青少年の勉学、努力に対する表彰等の事業を行う。,
182,A008062,公益財団法人日立市公園協会,コウエキザイダンホウジンヒタチシコウエンキョウカイ,公益財団法人,茨城県,2050005007208,317-0055,茨城県日立市宮田町5丁目2番22号,0294-22-4737,根本 甲,https://kaminepark.or.jp,04月01日~03月31日,"児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
地域社会の健全な発展を目的とする事業",日立市かみね公園その他の公園及び市民福祉の向上に資する公共的施設の建設及び管理運営等に関する事業を行うと共に、動植物の愛護思想の普及を図り、もって公共の福祉増進に寄与する事業,
190,A018785,公益財団法人福岡市水道サービス公社,コウエキザイダンホウジンフクオカシスイドウサービスコウシャ,公益財団法人,福岡県,3290005001210,812-0011,福岡県福岡市博多区博多駅前1丁目28番15号,092-471-5500,馬場 哲久,http://www.fukuoka-wsc.jp/,04月01日~03月31日,"公衆衛生の向上を目的とする事業、
地球環境の保全又は自然環境の保護及び整備を目的とする事業、
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業",清浄にして豊富低廉な水道水の供給を安定的・継続的に維持するため、給水装置の維持管理及び水資源の有限性・重要性の啓発等に関する事業を行う。,
195,A017506,公益財団法人倉敷市文化振興財団,コウエキザイダンホウジンクラシキシブンカシンコウザイダン,公益財団法人,岡山県,9260005003253,710-0046,岡山県倉敷市中央1丁目18番1号倉敷市芸文館,086-434-0505,岡 荘一郎,http://arsk.jp,04月01日~03月31日,文化及び芸術の振興を目的とする事業,市民一人ひとりが文化を享受し、文化の心を育み、文化を創り出すことができる環境づくりを行うことにより、豊かな伝統文化の継承発展と倉敷市にふさわしい新たな市民文化の振興を図る事業。,
198,A008146,公益財団法人日本精神衛生会,コウエキザイダンホウジンニホンセイシンエイセイカイ,公益財団法人,内閣府,4011105005375,101-0052,東京都千代田区神田小川町3-1-10メディカビル3F,03-3518-9524,小島 卓也,http://www.jamh.gr.jp,04月01日~03月31日,障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業,国民の精神衛生及び精神保健に対する関心を高めることによって、精神障害及びその他の適応障害を予防するとともに、精神障害者の医療及び福祉の改善を期し、もって国民の精神的健康の保持向上を図る事業,【証明】公益財団法人日本精神衛生会[税額控除]
207,A008855,公益財団法人致道博物館,コウエキザイダンホウジンチドウハクブツカン,公益財団法人,山形県,2390005007958,997-0036,山形県鶴岡市家中新町10番18号,0235-22-1199,酒井 忠順,https://www.chido.jp/,04月01日~03月31日,文化及び芸術の振興を目的とする事業,博物館を設置し、郷土文化の向上に寄与する事業を行う。,税額控除に係る証明書(R2.7.16~R7.7.15)
233,A008543,公益財団法人日本ボーイスカウト島根連盟維持財団,コウエキザイダンホウジンニホンボーイスカウトシマネレンメイイジザイダン,公益財団法人,島根県,4280005000063,690-0033,島根県松江市大庭町1751番地13,0852-25-5799,那須 信重,,04月01日~03月31日,児童又は青少年の健全な育成を目的とする事業,青少年の人格を形成し、かつ、国際友愛精神の増進を図り、青少年の健全育成に寄与するため、島根県におけるボーイスカウト運動の普及等を実施する。,【証明】公益財団法人日本ボーイスカウト島根連盟維持財団(税額証明)
236,A018916,公益財団法人伊予三島奨学会,コウエキザイダンホウジンイヨミシマショウガクカイ,公益財団法人,愛媛県,5500005006986,799-0404,愛媛県四国中央市三島宮川4丁目6番55号,0896-28-6044,井川 高幸,http://mishima.shikokuchuo.or.jp/,04月01日~03月31日,"学術及び科学技術の振興を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業",愛媛県出身の子弟のうち、学業優秀、品行方正な学生生徒で、経済的理由により修学困難な者に対し奨学資金を貸与することにより、社会有用な人材を育成することを目的とする事業を行う。,
240,A021536,公益財団法人日本チャリティ協会,コウエキザイダンホウジン ニッポンチャリティキョウカイ,公益財団法人,内閣府,7011105000241,160-0022,東京都新宿区新宿1丁目18番12号柳田ビル3階,03-3341-0803,前島 英三郎,http://www.charitykyokai.or.jp,04月01日~03月31日,"障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
高齢者の福祉の増進を目的とする事業",障害者や高齢者に対する福祉文化活動に積極的に関わり、芸術・文化・スポーツ等に参加できる機会と場を提供し、豊かで生きがいのある暮らしづくりに寄与することを目的に実施する事業,【証明】公益財団法人日本チャリティ協会〔税額控除〕
243,A008447,公益財団法人やなせたかし記念アンパンマンミュージアム振興財団,コウエキザイダンホウジンヤナセタカシキネンアンパンマンミュージアムシンコウザイダン,公益財団法人,高知県,9490005004377,781-4212,高知県香美市香北町美良布1224番地2,0887-59-2300,明石 猛,http://anpanman-museum.net,04月01日~03月31日,文化及び芸術の振興を目的とする事業,"香美市立やなせたかし記念館(美術館)の管理運営及び、やなせたかしを中心とした所蔵
作品の保存管理、研究を行うと共に、漫画、芸術文化の普及・振興に関する事業を行う。",
250,A008578,公益財団法人深尾理工教育振興財団,コウエキザイダンホウジン フカオリコウキョウイクシンコウザイダン,公益財団法人,滋賀県,3160005008730,525-0059,滋賀県草津市野路1丁目12番11-507号,077-516-0830,杉江 弘行,,04月01日~03月31日,学術及び科学技術の振興を目的とする事業,理工系の技術を担う若者を育成するために、滋賀県内の小学校、中学校、高等学校の学生を対象に助成を行う。また、理工系の技術を体験することが出来るイベントに対し助成を行う。,
260,A008530,公益財団法人茨城新聞文化福祉事業団,コウエキザイダンホウジン イバラキシンブンブンカフクシジギョウダン,公益財団法人,茨城県,5050005000325,310-0852,茨城県水戸市笠原町978番25号茨城県開発公社ビル,029-301-1833,小田部 卓,http://fukushiwp.ibarakinews.jp,04月01日~03月31日,"文化及び芸術の振興を目的とする事業、
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業",茨城県における社会福祉事業及び文化の向上、発展に資するための助成援助,税額控除にかかる証明書
263,A008953,公益財団法人たんしん地域振興基金,コウエキザイダンホウジン タンシンチイキチンコウキキン,公益財団法人,兵庫県,7140005013076,668-0033,兵庫県豊岡市中央町17番8号但馬信用金庫内,0796-23-1200,宮垣 和生,https://tanshin-kikin.jp/,04月01日~03月31日,"児童又は青少年の健全な育成を目的とする事業、
地域社会の健全な発展を目的とする事業",兵庫県の但馬地域において、豊かな住み良い地域社会の創造に寄与するために、但馬地域の団体等が但馬地域で行う、営利を目的としないコミュニティ活動及び産業活性化の活動に対する支援を行っている。,
277,A008441,公益財団法人石見安達美術館,コウエキザイダンホウジンイワミアダチビジュツカン,公益財団法人,島根県,2280005006665,697-0004,島根県浜田市久代町1655番地28,0855-28-1920,安達 精市,http://www2.crosstalk.or.jp/shinmachi/a8/,04月01日~03月31日,文化及び芸術の振興を目的とする事業,石見地方に伝わる歴史的美術品の蒐集保存、調査研究、公開展示及びその為の美術館の運営,
279,A008771,公益財団法人横浜YWCA,コウエキザイダンホウジンヨコハマワイダブリューシーエー,公益財団法人,神奈川県,5020005001697,231-0023,神奈川県横浜市中区山下町225番地,045-681-2903,安田 和美,http://yokohama-ywca.jp/,04月01日~03月31日,"男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業、
地域社会の健全な発展を目的とする事業",すべての人びとにとっての自由と尊厳、正義と平和、持続可能な環境が守られる社会の実現に寄与する事業,
281,A008668,公益財団法人姫路十字会,コウエキザイダンホウジンヒメジジュウジカイ,公益財団法人,兵庫県,3140005013154,670-0965,兵庫県姫路市東延末2丁目25番地,079-222-0007,前田 直典,http://www.jujikai.or.jp/,04月01日~03月31日,"障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
児童又は青少年の健全な育成を目的とする事業",心身に障害があったり、何らかの理由により生活難に陥っているなど、援助、助成を必要とする方々や施設に対する支援などを行っている。,
283,A017778,公益財団法人奈良県スポーツ協会,コウエキザイダンホウジン ナラケンタイイクキョウカイ,公益財団法人,奈良県,9150005000724,630-8213,奈良県奈良市登大路町30,0742-22-5791,池田 誠也,http://www.nara-sports.or.jp,04月01日~03月31日,"児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業",奈良県における県民の体力向上及びスポーツの振興を図るため、社会体育振興事業、競技力向上事業、スポーツ少年団育成事業などを実施する。,
284,A008328,公益財団法人東京防犯協会連合会,コウエキザイダンホウジントウキョウボウハンヨウカイレンゴウカイ,公益財団法人,東京都,1010005016287,164-0013,東京都中野区弥生町二丁目4番10号警視庁本郷通庁舎内,03-6276-4505,椿 貴喜,https://toboren.ne.jp/website/,04月01日~03月31日,犯罪の防止又は治安の維持を目的とする事業,「犯罪のない明るい社会」の実現に寄与するため、都民の防犯思想の高揚を図る広報啓蒙活動や防犯活動事業並びに善良な風俗の保持及び風俗環境浄化のための講習、調査、相互事業を推進しています。,
291,A008031,公益財団法人横須賀芸術文化財団,コウエキザイダンホウジンヨコスカゲイジュツブンカザイダン,公益財団法人,神奈川県,6021005008822,238-0041,神奈川県横須賀市本町3丁目27番地,046-828-1600,木村 忠昭,https://www.yokosuka-arts.or.jp/zaidan/index.html,04月01日~03月31日,文化及び芸術の振興を目的とする事業,横須賀市の文化施設を拠点として、舞台・音楽をはじめとする芸術文化に関する事業を実施することにより、横須賀の芸術文化の創造及び発展並びに文化的な潤いのある地域社会の実現に寄与することを目的とする事業。,
300,A008598,公益財団法人室蘭テクノセンター,コウエキザイダンホウジンムロランテクノセンター,公益財団法人,北海道,2430005009834,050-0083,北海道室蘭市東町4丁目28番1号,0143-45-1188,中田 孔幸,http://www.murotech.or.jp/,04月01日~03月31日,地域社会の健全な発展を目的とする事業,室蘭地域の産業経済の振興発展のため、企業の工業技術の水準及び経営力の向上のための各種助成等による支援のほか、産学官の連携による新たな産業の創出等に対する支援や経営の安定化等を図るための支援を行う,
306,A017847,公益財団法人アダチ伝統木版画技術保存財団,コウエキザイダンホウジンアダチデントウモクハンガギジュツホゾンザイダン,公益財団法人,内閣府,5011105002990,161-0033,東京都新宿区下落合3丁目13番17号,03-3951-1267,安達 以乍牟,http://www.adachi-hanga.com/foundation/index.cgi,04月01日~03月31日,"文化及び芸術の振興を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業",伝統木版画の制作技術を保存・伝承するため、伝統木版画の制作技術に係る調査研究等の奨励及び後継者の育成事業の支援等を行うとともに、資料の収集及び公開等を通じて伝統木版画の一般への普及を図る。,
315,A018624,公益財団法人友愛会,コウエキザイダンホウジンユウアイカイ,公益財団法人,内閣府,4120005012545,572-0082,大阪府寝屋川市香里本通町1番5号,0728-31-7145,辰巳 忠恵,http://yi-kai.or.jp,04月01日~03月31日,文化及び芸術の振興を目的とする事業,能楽をはじめとする我が国の伝統芸能等に関する公演・鑑賞会の開催、伝統芸能等の伝承・普及を目的とする施設の貸与、伝統芸能等に関する文化教室の開催等の事業を行う。,
329,A008171,公益財団法人鳥取県産業振興機構,コウエキザイダンホウジントットリケンサンギョウシンコウキコウ,公益財団法人,鳥取県,1270005004844,689-1112,鳥取県鳥取市若葉台南7丁目5番1号,0857-52-3011,岡村 整諮,https://www.toriton.or.jp/,04月01日~03月31日,"学術及び科学技術の振興を目的とする事業、
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業",県内中小企業等の経営基盤の強化、技術及び経営の革新、人材の育成及び産学金官の連携促進等を支援することにより、県内における新たな産業の創出を推進するとともに、地域経済の活性化を図り、もって鳥取県の産業の発展に寄与することを目的とする。,
333,A017811,公益財団法人市川市花と緑のまちづくり財団,コウエキザイダンホウジンイチカワシハナトミドリノマチヅクリザイダン,公益財団法人,千葉県,3040005004287,272-0827,千葉県市川市国府台3丁目9番1号,047-318-5760,竹内 一雄,http://www.ichikawa-fgud.com/,04月01日~03月31日,"地球環境の保全又は自然環境の保護及び整備を目的とする事業、
地域社会の健全な発展を目的とする事業","緑地の保全及び取得と花と緑の推進によって花と緑のまちづくりを進め、
もって健康で潤 いのある市民生活の実現、美しい都市景観と温かい地域社会の形成、
ひいては持続可能な 地球環境の保全に寄与する。",
