seqCorp,法人コード,法人の名称,法人の名称フリガナ,法人区分,行政庁,法人番号(JCN),郵便番号,主たる事務所の住所,代表電話番号,代表者の氏名,ホームページアドレス,事業年度,事業の種類,事業の概要,税額控除に係る証明
11,A008037,一般社団法人稚内歯科医師会,イッパンシャダンホウジンワッカナイシカイシカイ,一般社団法人,北海道,2450005002928,097-0022,北海道稚内市中央２丁目１６番７号,0162-24-5108,藤野　享士,,04月01日～03月31日,,医道の高揚と歯科医学医術の進歩発達と公衆衛生の普及向上とを図り、予防医学の完成に努力し、もって社会並びに会員の福祉厚生を増進するとともに、会員の権利を擁護することを目的として事業を行う。,
12,A014008,公社内閣府テスト研究所,コウシャテストケンキュウジョ,公益社団法人,ゲスト行政庁,8999914000004,105-0001,東京都港区虎ノ門3-5-1第37森ビル12F,03-5403-9555,内閣府　一郎,https://www.koeki-info.go.jp/pictis_portal/,,,,
13,A017109,一般社団法人品川区医師会,イッパンシャダンホウジンシナガワクイシカイ,一般社団法人である移行法人,東京都,3010705001801,140-0001,東京都品川区北品川３丁目７番２５号,03-3471-5154,淺野　優,http://shinagawakuishikai.jp,04月01日～03月31日,,非営利型一般社団法人として事業活動が円滑に行えるよう、医道の昂揚、医学及び医術の発達並びに公衆衛生の向上を図り、もって国民の健康と社会福祉を増進するための諸活動を行っている。,
14,A014013,移財内閣府テスト研究所,イザイテストケンキュウジョ,一般財団法人である移行法人,ゲスト行政庁,7999914000005,105-0001,東京都港区虎ノ門3-5-1第37森ビル12F,03-5403-9555,内閣府　一郎,https://www.koeki-info.go.jp/pictis_portal/,,,,
15,A017449,公益財団法人世界宗教者平和会議日本委員会,コウエキザイダンホウジンセカイシュウキョウシャヘイワカイギニホンイインカイ,公益財団法人,内閣府,8011305001872,166-0012,東京都杉並区和田２丁目７番１号普門メディアセンター３階,03-3384-2337,戸松　義晴,http://www.wcrp.or.jp,04月01日～03月31日,"障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業、
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業、
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業",公益財団法人世界宗教者平和会議日本委員会_kana,【証明】公益財団法人世界宗教者平和会議日本委員会［税額控除］
16,,,,,,,,,,,,,,,
17,A014019,移社内閣府テスト研究所,イシャテストケンキュウジョ,一般社団法人である移行法人,ゲスト行政庁,6999914000006,105-0001,東京都港区虎ノ門3-5-1第37森ビル12F,03-5403-9555,内閣府　一郎,https://www.koeki-info.go.jp/pictis_portal/,,,,
18,,,,,,,,,,,,,,,
19,A017395,公益財団法人箕面市国際交流協会,コウエキザイダンホウジンミノオシコクサイコウリュウキョウカイ,公益財団法人,大阪府,6120905003336,562-0032,大阪府箕面市小野原西５丁目２番３６号箕面市立多文化交流センター内,072-727-6912,前田　一成,http://www.mafga.or.jp,04月01日～03月31日,"人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業、
地域社会の健全な発展を目的とする事業",日本語教室や多言語相談など、在住外国人支援事業のほか、語学講座や国際理解教育などの国際交流事業及び多文化共生社会の実現に向けた啓発事業を実施。,【証明】公益財団法人箕面市国際交流協会〔税額控除〕
20,A014337,一財内閣府テスト研究所,イチザイテストケンキュウジョ,一般財団法人,ゲスト行政庁,5999914000007,105-0001,東京都港区虎ノ門3-5-1第37森ビル12F,03-5403-9555,内閣府　一郎,https://www.koeki-info.go.jp/pictis_portal/,,,,
21,A018594,一般財団法人岩見沢振興公社,イッパンザイダンホウジンイワミザワシンコウコウシャ,一般財団法人,北海道,,068-8686,北海道岩見沢市鳩が丘１丁目１番１号,0126-23-4111,阿部　啓吉,,04月01日～03月31日,,岩見沢市の行政に即応して、地域経済の振興と産業開発を促進する事業を行い、もって市民生活の向上に寄与する。,
22,A008629,公益社団法人三原市シルバー人材センター,コウエキシャダンホウジンミハラシシルバージンザイセンター,公益社団法人,広島県,6240005012390,723-0016,広島県三原市宮沖５丁目９番３２号,0848-63-2266,首尾木　春樹,http://www.sjc.ne.jp/mihara/index,04月01日～03月31日,勤労意欲のある者に対する就労の支援を目的とする事業,高齢者の多様な就業及び社会参加活動の機会を確保・提供する事業、高齢者の能力の活用を図るための事業、並びにこれらの事業を推進するための普及啓発活動の諸活動を実施している。,
23,A014397,一社内閣府テスト研究所,イチシャテストケンキュウジョ,一般社団法人,ゲスト行政庁,4999914000008,105-0001,東京都港区虎ノ門3-5-1第37森ビル12F,03-5403-9555,内閣府　一郎,https://www.koeki-info.go.jp/pictis_portal/,,,,
24,A008907,公益社団法人園部納税協会,コウエキシャダンホウジンソノベノウゼイキョウカイ,公益社団法人,京都府,9130005012390,622-0041,京都府南丹市園部町小山東町平成台１号１４番地,0771-62-0039,楠　善夫,http://www.nk-net.co.jp/sonobe/,04月01日～03月31日,国政の健全な運営の確保に資することを目的とする事業,本会は、税務行政の円滑な執行に寄与するため、各種講習会や相談会、機関誌・会報誌の配布、税務広報等を実施するとともに、企業経営の健全な発展と地域社会の発展に寄与するための講演会等を実施している。,
25,A017190,公益社団法人全国愛農会,コウエキシャダンホウジンゼンコクアイノウカイ,公益社団法人,内閣府,9190005006098,518-0221,三重県伊賀市別府６９０番地の１,0595-52-0108,飯尾 裕光,http://www.ainou.or.jp,01月01日～12月31日,"勤労意欲のある者に対する就労の支援を目的とする事業、
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業、
一般消費者の利益の擁護又は増進を目的とする事業",持続的な農業と暮らしを基盤とする地域社会づくり(研修と普及)並びにそれを担っていく人材の養成を行う。また持続的な農業の適切な進展を図るために有機農産物の認証事業も行う。,
26,A008870,公益財団法人福岡県学校給食会,コウエキザイダンホウジンフクオカケンガッコウキュウショクカイ,公益財団法人,福岡県,1290005013273,818-8511,福岡県筑紫野市紫３丁目１番１号,092-923-3322,日高　公徳,https://www.fukukyuu.or.jp,04月01日～03月31日,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業,"・学校給食用物資の安定供給に関する事業
・学校給食用物資の安全性確保及び衛生管理に関する事業
・学校給食を通じた食育推進及び食育の支援に関する事業
・学校給食の普及充実に関する事業",
27,A017483,一般社団法人全国高等専門学校連合会,イッパンシャダンホウジンゼンコクコウトウセンモンガッコウレンゴウカイ,一般社団法人,内閣府,5010005018809,101-0054,東京都千代田区神田錦町３丁目７番２号東京堂錦町ビルディング９階,03-6328-3598,前野　一夫,http://www.kosen-all.or.jp/,04月01日～03月31日,,高等専門学校の体育大会、各種コンテスト等国公私立高等専門学校連携事業の実施を通じ、高等専門学校の充実・振興と均衡ある発展に寄与することを目的とする。,
28,A014418,特財北海道テスト研究所,トクザイテストケンキュウジョ,特例財団法人,ゲスト行政庁,7999990010001,608-8588,北海道札幌市中央区北３条西６丁目,011-231-4111,北海道Ａ　一郎,,,,,
29,A017347,公益社団法人益田市医師会,コウエキシャダンホウジンマスダシイシカイ,公益社団法人,島根県,4280005006688,699-3676,島根県益田市遠田町１９１７番地２,0856-31-0545,大畑　力,http://www.masuda-med.or.jp/,04月01日～03月31日,公衆衛生の向上を目的とする事業,公益社団法人益田市医師会_kana,
30,A014501,特社北海道テスト研究所,トクシャテストケンキュウジョ,特例社団法人,ゲスト行政庁,6999990010002,608-8588,北海道札幌市中央区北３条西６丁目,011-231-4111,北海道Ａ　一郎,,,,,
31,A008038,公益財団法人北海道新聞社会福祉振興基金,コウエキザイダンホウジンホッカイドウシンブンシャカイフクシシンコウキキン,公益財団法人,北海道,8430005010869,060-8711,北海道札幌市中央区大通東４丁目１番地北海道新聞社内,011-210-5751,宮口　宏夫,https://fukushi.hokkaido-np.co.jp/,04月01日～03月31日,障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業,(1)社会福祉法人、社会福祉団体等に対する助成金の交付(2)母子家庭等の生徒に対する奨学金の支給(3)社会福祉法人等に対する低利資金の貸し付け(4)道民に対し社会福祉増進に必要な啓発事業など,公益財団法人北海道新聞社会福祉振興基金（税額控除）
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,A014472,公財北海道テスト研究所,コウザイテストケンキュウジョ,公益財団法人,ゲスト行政庁,5999990010003,608-8588,北海道札幌市中央区北３条西６丁目,011-231-4111,北海道Ａ　一郎,,,,,
35,A008812,公益社団法人左京納税協会,コウエキシャダンホウジンサキョウノウゼイキョウカイ,公益社団法人,京都府,3130005012388,606-8323,京都府京都市左京区聖護院円頓美町29番地の6,075-771-6410,鈴鹿　且久,http://www.nk-net.co.jp/sakyo/,04月01日～03月31日,国政の健全な運営の確保に資することを目的とする事業,本会は、税務行政の円滑な執行に寄与するため、各種講習会や相談会、機関誌・会報等の配布、税務広報等を実施するとともに、企業経営の健全な発展に寄与するための講習会等を実施している。,
36,A017977,一般財団法人久留米大学愛恵会,イッパンザイダンホウジンクルメダイガクアイケイカイ,一般財団法人である移行法人,福岡県,5290005009788,830-0011,福岡県久留米市旭町６７番地,0942-34-0716,有馬　彰博,http://park14.wakwak.com/~aikeikai/,04月01日～03月31日,,久留米大学の教育研究に対する助成、久留米大学の学生の研修等に対する助成、及び久留米大学病院の入院患者の慰安行事等に対する助成を行う事業,
37,A014512,公社北海道テスト研究所,コウシャテストケンキュウジョ,公益社団法人,ゲスト行政庁,4999990010004,608-8588,北海道札幌市中央区北３条西６丁目,011-231-4111,北海道Ａ　一郎,,,,,
38,A017491,公益社団法人島根県野菜価格安定基金協会,コウエキシャダンホウジンシマネケンヤサイカカクアンテイキキンキョウカイ,公益社団法人,島根県,4280005003512,699-0631,島根県出雲市斐川町直江５０３０番地,0853-73-9538,石川　寿樹,//www11.ocn.ne.jp/~simayaki/,04月01日～03月31日,国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業,計画的に野菜出荷を行おうとする生産者の市場出荷した野菜（一定の規格に適合した）の平均販売価額が、保証基準額以下に低落した場合に、その基準額と最低基準額との差額の70％～90％を生産者に交付する。,
39,A014615,移財北海道テスト研究所,イザイテストケンキュウジョ,一般財団法人である移行法人,ゲスト行政庁,3999990010005,608-8588,北海道札幌市中央区北３条西６丁目,011-231-4111,北海道Ａ　一郎,,,,,
40,A008221,一般社団法人茨城県建築士会,イッパンシャダンホウジンイバラキケンケンチクシカイ,一般社団法人である移行法人,茨城県,8050005000396,310-0852,茨城県水戸市笠原町９７８番地３０,029-305-0329,柴　恭,http://i-shikai.com/,04月01日～03月31日,,建築士制度の普及啓発関連・建築士の育成と試験の運営・建築士登録・法定講習の運営・官公庁等からの業務受託・関係団体との交流,
41,A014115,移社北海道テスト研究所,イシャテストケンキュウジョ,一般社団法人である移行法人,ゲスト行政庁,2999990010006,608-8588,北海道札幌市中央区北３条西６丁目,011-231-4111,北海道Ａ　一郎,,,,,
42,A008357,公益財団法人えどがわ環境財団,コウエキザイダンホウジンエドガワカンキョウザイダン,公益財団法人,東京都,3011705001106,132-0031,東京都江戸川区松島１丁目４４番１２号ＫＴパークビル,03-5662-5541,弓場　宏之,https://www.edogawa-kankyozaidan.jp/,04月01日～03月31日,"学術及び科学技術の振興を目的とする事業、
児童又は青少年の健全な育成を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
地球環境の保全又は自然環境の保護及び整備を目的とする事業、
地域社会の健全な発展を目的とする事業",江戸川区内にある豊かな水と緑の環境の利用を促進し緑化思想を推進するとともに、豊かな人間性の高揚を目的とした動物とのふれあい事業を行う。,
43,A017624,一般社団法人草津温泉観光協会,イッパンシャダンホウジンクサツオンセンカンコウキョウカイ,一般社団法人,群馬県,4070005007476,377-1711,群馬県吾妻郡草津町大字草津３番地９,0279-88-3642,山田　寅幸,https://www.kusatsu-onsen.ne.jp/,04月01日～03月31日,,観光事業、観光施設に整備改善及び維持管理、郷土民芸品等の販売,
44,A014853,一財北海道テスト研究所,イチザイテストケンキュウジョ,一般財団法人,ゲスト行政庁,1999990010007,608-8588,北海道札幌市中央区北３条西６丁目,011-231-4111,北海道Ａ　一郎,,,,,
45,A017163,公益財団法人やすらぎ霊園,コウエキザイダンホウジンヤスラギレイエン,公益財団法人,高知県,4490005000249,780-8031,高知県高知市大原町１０９番地コーエイハイツグランド２０３号,088-834-3310,北本哲也,http://www.sakura3939.jp,04月01日～03月31日,公衆衛生の向上を目的とする事業,地域住民の福祉と公共衛生の向上に寄与するため、墓地・納骨堂を計画的に設置し、その経営管理を行う。,
46,A008403,一般社団法人全国底曳網漁業連合会,イッパンシャダンホウジンゼンコクソコビキアミギョギョウレンゴウカイ,一般社団法人,内閣府,9010405010502,105-0003,東京都港区西新橋１丁目１１番３号虎ノ門アサヒビル６階,03-3508-0361,吉岡　修一,http://www.zensokoren.or.jp,04月01日～03月31日,,底びき網漁業の調査研究に関する事業の普及、技術の向上、経営安定及び振興、従事者の養成、教育及び厚生の普及、操業する水域における海洋水産資源の保護及び管理の推進等。,
47,A014085,一社北海道テスト研究所,イチシャテストケンキュウジョ,一般社団法人,ゲスト行政庁,9999990010008,608-8588,北海道札幌市中央区北３条西６丁目,011-231-4111,北海道Ａ　一郎,,,,,
48,A009136,一般財団法人法曹会,イッパンザイダンホウジンホウソウカイ,一般財団法人である移行法人,内閣府,5010005003364,100-0013,東京都千代田区霞が関１丁目１番１号,03-3581-2146,福田　千恵子,http://www.hosokai.or.jp/,01月01日～12月31日,,法律の調査研究及び司法事務の進歩発達を図ることを目的とし，その目的を達成するため図書の発行，施設の貸与等の事業を行っている。,
49,A017998,公益財団法人川崎市老人クラブ連合会,コウエキザイダンホウジン　カワサキシロウジンクラブレンゴウカイ,公益財団法人,神奈川県,6020005008262,210-0834,神奈川県川崎市川崎区大島１丁目９番地６号,044-222-4543,結城　勝彦,http://www.kawarouren.or.jp/,04月01日～03月31日,高齢者の福祉の増進を目的とする事業,"老人福祉の精神に基づき、川崎市内の老人クラブ活動の充実を図るとともに、
老人の健康維持及び生活向上を期し、もって老人福祉の向上に寄与する。",
50,A014545,特財青森テスト研究所,トクザイテストケンキュウジョ,特例財団法人,ゲスト行政庁,6999990020001,030-8570,青森県青森市長島一丁目１番１号,017-734-9079,青森県Ａ　一郎,,,,,
51,A017649,一般社団法人浅草青色申告会,イッパンシャダンホウジンアサクサアオイロシンコクカイ,一般社団法人,東京都,1010505000006,111-0055,東京都台東区三筋１丁目１６番１号,03-3861-7471,内田　弘,,04月01日～03月31日,,"青色申告者に誠実な記帳と適正な申告の普及徹底を図り、租税に関する研究調査を行い、
もって、納税道義の高揚及び公平な税制と円滑な税務行政」の確立、事業経営と地域社会の
健全な発展に寄与する。",
52,A008634,一般財団法人素形材センター,イッパンザイダンホウジンソケイザイセンター,一般財団法人である移行法人,内閣府,6010405010620,105-0011,東京都港区芝公園３丁目５番８号機械振興会館301号室,03-3434-3907,小脇　一朗,http://sokeizai.or.jp,04月01日～03月31日,,素形材に関する技術の試験研究、人材育成、普及啓発、交流促進等わが国素形材産業の振興に関する共通的施策を推進することにより、その総合的な発展を促進する。,
53,A017984,一般社団法人兵庫県造園建設業協会,イッパンシャダンホウジンヒョウゴケンゾウエンケンセツギョウキョウカイ,－,兵庫県,9140005001566,652-0047,兵庫県神戸市兵庫区下沢通７丁目２番２８号,078-577-5115,橋本　渉,,04月01日～03月31日,,"公園緑化技術に関する調査及び研究並びにこれらの受託。造園緑化技術に関する研修。
県民の緑化意識の普及啓発。緑豊かな地域環境の整備のための助成。",
54,A008478,一般社団法人長野上水内教育会,イッパンシャダンホウジンナガノカミミノチキョウイクカイ,一般社団法人,長野県,9100005010785,380-0935,長野県長野市大字中御所字岡田１５番地５,026-226-2458,野口　茂雄,http://www.kminochi-edu.or.jp,04月01日～03月31日,,児童生徒の健全な育成を目的とし、学校教育、家庭教育及び社会教育の振興を図るため、研究調査、研修助成、教育学術図書研究等の職能研修事業、並びに児童・生徒・地域住民等への人材育成事業,
55,A014014,特社青森テスト研究所,トクシャテストケンキュウジョ,特例社団法人,ゲスト行政庁,5999990020002,030-8570,青森県青森市長島一丁目１番１号,017-734-9079,青森県Ａ　一郎,,,,,
56,A014417,公財青森テスト研究所,コウザイテストケンキュウジョ,公益財団法人,ゲスト行政庁,4999990020003,030-8570,青森県青森市長島一丁目１番１号,017-734-9079,青森県Ａ　一郎,,,,,
57,,,,,,,,,,,,,,,
58,A017348,一般社団法人焼津市歯科医師会,イッパンシャダンホウジンヤイヅシシカイシカイ,一般社団法人,静岡県,8080005006259,425-0035,静岡県焼津市東小川１丁目８番１号,054-629-3338,八木　順右,,04月01日～03月31日,,歯科医師による医道の高揚、国民歯科医療の確立、公衆衛生、歯科保健の啓発、歯科医学の進歩発展を図り、社会の健康と福祉増進に寄与する事業を行う。,
59,A014101,公社青森テスト研究所,コウシャテストケンキュウジョ,公益社団法人,ゲスト行政庁,3999990020004,030-8570,青森県青森市長島一丁目１番１号,017-734-9079,青森県Ａ　一郎,,,,,
60,A017194,公益社団法人新潟市南区農業振興公社,コウエキシャダンホウジンニイガタシミナミクノウギョウシンコウコウシャ,公益社団法人,新潟県,1110005014834,950-1217,新潟県新潟市南区白根１２３５番地,025-372-5024,小野　志乃武,http://niigata-agri.or.jp/,04月01日～03月31日,"勤労意欲のある者に対する就労の支援を目的とする事業、
国土の利用、整備又は保全を目的とする事業、
地域社会の健全な発展を目的とする事業",農用地の利用対策や地域農業の担い手育成支援対策等を通じ、新潟市南区地域の活性化及び地域農業の持続的発展に寄与するもの。,
61,A008042,一般財団法人歌志内交通安全指導センター,イッパンザイダンホウジンウタシナイコウツウアンゼンシドウセンター,－,北海道,6430005010887,073-0407,北海道歌志内市字文珠９５番地１４,0125-42-2445,幕田　京人,,04月01日～03月31日,,交通災害の解消及び交通環境の整備に寄与することを目的とし、交通安全活動事業及び自動車学校の運営事業を実施している。,
62,A017695,一般財団法人村山市余暇開発公社,イッパンザイダンホウジンムラヤマシヨカカイハツコウシャ,一般財団法人,山形県,1390005005624,995-0209,山形県村山市碁点１０３４番地の７,0237-56-3351,高橋　正則,,04月01日～03月31日,,余暇開発事業、村山市が設置するﾚｸﾘｪｰｼｮﾝｾﾝﾀｰ、物産品販売施設等の管理運営の受託事業等,
63,A014432,移財青森テスト研究所,イザイテストケンキュウジョ,一般財団法人である移行法人,ゲスト行政庁,2999990020005,030-8570,青森県青森市長島一丁目１番１号,017-734-9079,青森県Ａ　一郎,,,,,
64,A008643,公益財団法人いばらき腎臓財団,コウエキザイダンホウジンイバラキジンゾウザイダン,公益財団法人,茨城県,4050005005424,305-8576,茨城県つくば市天久保２丁目１番地の１,029-858-3775,山縣　邦弘,http://www.ibajinbank.com/,04月01日～03月31日,"学術及び科学技術の振興を目的とする事業、
障害者若しくは生活困窮者又は事故、災害若しくは犯罪による被害者の支援を目的とする事業、
公衆衛生の向上を目的とする事業",臓器移植に関する事業普及啓発及び慢性腎臓病予防に関する事業、並びに研究助成と褒賞事業を行う。,[税額控除に係る証明書]公益財団法人いばらき腎臓財団
65,A017878,公益社団法人埼玉県医療社会事業協会,コウエキシャダンホウジンサイタマケンイリョウシャカイジギョウキョウカイ,公益社団法人,埼玉県,5030005000483,330-0846,埼玉県さいたま市大宮区大門町３丁目２２番地２新栄ビル２号棟４０３号室,048-650-3647,杉山　明伸,http://www.saitama-msw.or.jp/,04月01日～03月31日,公衆衛生の向上を目的とする事業,埼玉県内の医療社会事業の推進につとめ、疾病等に悩む者及びその家族の福祉の増進を図るとともに、医療社会事業従事者の資質の向上を図り、もって社会福祉の向上に寄与することを目的とする。,
66,A008092,一般財団法人山口県文化振興財団,イッパンザイダンホウジンヤマグチケンブンカシンコウザイダン,－,山口県,,753-8501,山口県山口市滝町１－１,083-932-2717,澄川　喜一,http://www.y-bunshin.jp/,04月01日～03月31日,,県内各地で行われる文化活動への支援や、秋吉台国際芸術村を拠点に施設の特色を活かしながら、様々な文化振興事業を実施する。,
67,A014570,移社青森テスト研究所,イシャテストケンキュウジョ,一般社団法人である移行法人,ゲスト行政庁,1999990020006,030-8570,青森県青森市長島一丁目１番１号,017-734-9079,青森県Ａ　一郎,,,,,
68,A008968,公益財団法人日本キリスト教文化協会,コウエキザイダンホウジンニホンキリストキョウブンカキョウカイ,公益財団法人,内閣府,6010005018931,104-0061,東京都中央区銀座４丁目５番１号教文館ビル７階,03-3561-8446,長山信夫,http://www.bunka-kyokai.or.jp,04月01日～03月31日,"文化及び芸術の振興を目的とする事業、
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業、
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業",キリスト教文化の普及啓発につとめ、より良い社会の形成に寄与することを目的とし、図書館の運営と講演会等の開催、キリスト教文化の普及啓発に貢献した人物の顕彰、そのほか必要な事業を日本全国において行う,
69,A017476,公益社団法人館山法人会,コウエキシャダンホウジンタテヤマホウジンカイ,公益社団法人,千葉県,6040005015018,294-0045,千葉県館山市北条１４９１番地法青会館,0470-22-1389,本間　　亨,http://www.tateyama-hojinkai.or.jp,04月01日～03月31日,"国政の健全な運営の確保に資することを目的とする事業、
地域社会の健全な発展を目的とする事業",館山税務署管内を主たる活動区域として、広く税知識の普及及び納税意識の高揚を図る活動や税制税務に関する調査研究・提言等に取り組み、企業経営はもとより地域社会の健全な発展に貢献する事業を展開しています。,
70,A014535,一財青森テスト研究所,イチザイテストケンキュウジョ,一般財団法人,ゲスト行政庁,9999990020007,030-8570,青森県青森市長島一丁目１番１号,017-734-9079,青森県Ａ　一郎,,,,,
71,A014015,一社青森テスト研究所,イチシャテストケンキュウジョ,一般社団法人,ゲスト行政庁,8999990020008,030-8570,青森県青森市長島一丁目１番１号,017-734-9079,青森県Ａ　一郎,,,,,
72,A008481,一般財団法人災害科学研究所,イッパンザイダンホウジンサイガイカガクケンキュウショ,一般財団法人である移行法人,内閣府,2120005015203,541-0043,大阪府大阪市中央区高麗橋４丁目５番１３号淀屋橋サテライトビル,06-6202-5602,青木　伸一,http://csi.or.jp/,04月01日～03月31日,"学術及び科学技術の振興を目的とする事業、
事故又は災害の防止を目的とする事業",災害の防止軽減に関する調査研究及びその他公益に資するための事業,
73,,社団法人落語協会,シャダンホウジンラクゴキョウカイ,特例社団法人,内閣府,,110-0005,東京都台東区上野一丁目９番５号らくごくらぶ内,03-3833-8563,郡山　剛藏,,,,,
74,A008728,一般社団法人西遠連合報徳社,イッパンシャダンホウジンセイエンレンゴウホウトクシャ,一般社団法人,静岡県,1080405006278,430-0946,静岡県浜松市中区元城町１１３番地の７,090-3553-4525,中村　雄次,,01月01日～12月31日,,この法人は、二宮尊徳先生の遺教による報徳の教えを実践し、社会の向上発展に寄与する事業を行う。,
75,A017305,一般社団法人日本メタル経済研究所,イッパンシャダンホウジンニホンメタルケイザイケンキュウジョ,一般社団法人,内閣府,6010405010703,107-0052,東京都千代田区神田錦町三丁目１１番５号,050-7100-9133,小野　直樹,http://www.merij.or.jp/,05月01日～04月30日,,メタル（銅、鉛、亜鉛、レアメタルその他の非鉄金属をいう。）に関する情報提供事業を実施することにより、我が国非鉄金属産業及びこれに関わる諸産業の健全な発展を図る。,
76,A014405,特財岩手テスト研究所,トクザイテストケンキュウジョ,特例財団法人,ゲスト行政庁,5999990030001,020-8570,岩手県盛岡市内丸10-1,019-629-5039,岩手県Ｂ　一郎,,,,,
77,A014114,特社岩手テスト研究所,トクシャテストケンキュウジョ,特例社団法人,ゲスト行政庁,4999990030002,020-8570,岩手県盛岡市内丸10-1,019-629-5039,岩手県Ｂ　一郎,,,,,
78,A017441,公益財団法人大分県総合雇用推進協会,コウエキザイダンホウジンオオイタケンソウゴウコヨウスイシンキョウカイ,公益財団法人,大分県,2320005000176,870-0035,大分県大分市中央町四丁目２番１６号,097-532-8486,杉原　正晴,https://www.koyosuishin-oita.jp/,04月01日～03月31日,勤労意欲のある者に対する就労の支援を目的とする事業,県内における地域雇用開発を推進するなど、若者の県内定住のための事業や高齢者・障害者等の雇用支援に関する各種雇用対策事業を推進している。,
